Category: All categories

Time,video games: (Canada),Gaming computer: (Canada),graphics card: (Canada),gaming: (Canada),PlayStation 5: (Canada)
2025-01-23T21:40:00-05:00,0,6,0,50,63
2025-01-23T21:48:00-05:00,7,9,0,46,57
2025-01-23T21:56:00-05:00,0,6,0,39,57
2025-01-23T22:04:00-05:00,7,0,0,46,62
2025-01-23T22:12:00-05:00,10,0,0,46,58
2025-01-23T22:20:00-05:00,0,0,0,52,62
2025-01-23T22:28:00-05:00,8,0,0,44,59
2025-01-23T22:36:00-05:00,0,0,0,46,71
2025-01-23T22:44:00-05:00,0,0,0,48,68
2025-01-23T22:52:00-05:00,8,0,0,41,69
2025-01-23T23:00:00-05:00,0,0,0,46,56
2025-01-23T23:08:00-05:00,12,0,0,47,77
2025-01-23T23:16:00-05:00,11,8,10,46,56
2025-01-23T23:24:00-05:00,12,9,17,48,59
2025-01-23T23:32:00-05:00,13,0,0,48,53
2025-01-23T23:40:00-05:00,8,0,10,45,61
2025-01-23T23:48:00-05:00,0,0,0,42,62
2025-01-23T23:56:00-05:00,14,0,0,50,62
2025-01-24T00:04:00-05:00,0,0,0,41,65
2025-01-24T00:12:00-05:00,0,0,0,57,67
2025-01-24T00:20:00-05:00,17,0,0,46,61
2025-01-24T00:28:00-05:00,0,14,0,56,64
2025-01-24T00:36:00-05:00,16,0,0,49,75
2025-01-24T00:44:00-05:00,0,0,0,46,66
2025-01-24T00:52:00-05:00,0,0,0,42,76
2025-01-24T01:00:00-05:00,0,0,0,41,67
2025-01-24T01:08:00-05:00,0,0,0,58,63
2025-01-24T01:16:00-05:00,19,0,0,57,74
2025-01-24T01:24:00-05:00,0,0,0,61,61
2025-01-24T01:32:00-05:00,0,0,0,52,61
2025-01-24T01:40:00-05:00,18,0,0,58,87
2025-01-24T01:48:00-05:00,0,0,0,48,92
2025-01-24T01:56:00-05:00,0,0,0,61,72
2025-01-24T02:04:00-05:00,0,0,0,52,86
2025-01-24T02:12:00-05:00,0,0,0,35,75
2025-01-24T02:20:00-05:00,0,0,0,72,100
2025-01-24T02:28:00-05:00,0,0,0,35,79
2025-01-24T02:36:00-05:00,0,0,0,73,69
2025-01-24T02:44:00-05:00,0,0,0,46,75
2025-01-24T02:52:00-05:00,0,0,0,76,65
2025-01-24T03:00:00-05:00,0,0,0,53,61
2025-01-24T03:08:00-05:00,0,0,0,71,74
2025-01-24T03:16:00-05:00,0,0,0,63,90
2025-01-24T03:24:00-05:00,0,0,0,35,64
2025-01-24T03:32:00-05:00,0,0,0,53,66
2025-01-24T03:40:00-05:00,0,0,0,60,62
2025-01-24T03:48:00-05:00,0,0,0,36,56
2025-01-24T03:56:00-05:00,0,0,0,49,60
2025-01-24T04:04:00-05:00,0,0,0,55,65
2025-01-24T04:12:00-05:00,0,0,0,61,78
2025-01-24T04:20:00-05:00,0,0,0,47,51
2025-01-24T04:28:00-05:00,0,0,0,84,90
2025-01-24T04:36:00-05:00,0,0,0,80,37
2025-01-24T04:44:00-05:00,0,0,0,40,45
2025-01-24T04:52:00-05:00,0,0,0,62,61
2025-01-24T05:00:00-05:00,0,0,0,0,57
2025-01-24T05:08:00-05:00,0,0,0,49,60
2025-01-24T05:16:00-05:00,0,0,0,43,50
2025-01-24T05:24:00-05:00,0,0,0,64,0
2025-01-24T05:32:00-05:00,0,0,0,0,49
2025-01-24T05:40:00-05:00,0,0,0,0,0
2025-01-24T05:48:00-05:00,0,0,0,36,50
2025-01-24T05:56:00-05:00,0,0,0,0,38
2025-01-24T06:04:00-05:00,0,0,0,30,38
2025-01-24T06:12:00-05:00,0,0,0,0,55
2025-01-24T06:20:00-05:00,0,0,0,0,34
2025-01-24T06:28:00-05:00,0,0,0,48,30
2025-01-24T06:36:00-05:00,0,0,0,0,44
2025-01-24T06:44:00-05:00,0,0,0,35,40
2025-01-24T06:52:00-05:00,0,0,0,39,47
2025-01-24T07:00:00-05:00,0,0,0,25,34
2025-01-24T07:08:00-05:00,0,0,0,27,38
2025-01-24T07:16:00-05:00,0,0,0,32,33
2025-01-24T07:24:00-05:00,0,0,0,34,37
2025-01-24T07:32:00-05:00,0,0,0,27,41
2025-01-24T07:40:00-05:00,0,0,0,26,36
2025-01-24T07:48:00-05:00,0,0,0,36,40
2025-01-24T07:56:00-05:00,19,0,0,30,27
2025-01-24T08:04:00-05:00,0,0,0,30,38
2025-01-24T08:12:00-05:00,0,0,0,33,32
2025-01-24T08:20:00-05:00,0,0,0,29,37
2025-01-24T08:28:00-05:00,0,0,0,24,36
2025-01-24T08:36:00-05:00,0,0,0,24,39
2025-01-24T08:44:00-05:00,0,0,0,31,38
2025-01-24T08:52:00-05:00,0,0,0,30,32
2025-01-24T09:00:00-05:00,0,0,0,27,37
2025-01-24T09:08:00-05:00,8,0,0,35,41
2025-01-24T09:16:00-05:00,0,0,0,31,40
2025-01-24T09:24:00-05:00,10,0,9,33,34
2025-01-24T09:32:00-05:00,0,0,0,34,33
2025-01-24T09:40:00-05:00,0,0,0,32,36
2025-01-24T09:48:00-05:00,8,0,0,35,36
2025-01-24T09:56:00-05:00,0,6,0,42,35
2025-01-24T10:04:00-05:00,6,0,0,31,38
2025-01-24T10:12:00-05:00,0,0,0,32,33
2025-01-24T10:20:00-05:00,0,0,0,36,41
2025-01-24T10:28:00-05:00,0,0,0,39,45
2025-01-24T10:36:00-05:00,0,0,0,28,37
2025-01-24T10:44:00-05:00,10,0,0,34,33
2025-01-24T10:52:00-05:00,7,0,0,36,40
2025-01-24T11:00:00-05:00,0,0,0,35,40
2025-01-24T11:08:00-05:00,7,0,0,37,45
2025-01-24T11:16:00-05:00,8,7,0,39,48
2025-01-24T11:24:00-05:00,0,0,0,37,40
2025-01-24T11:32:00-05:00,5,0,0,39,40
2025-01-24T11:40:00-05:00,9,0,0,36,39
2025-01-24T11:48:00-05:00,9,0,0,37,44
2025-01-24T11:56:00-05:00,7,0,0,39,42
2025-01-24T12:04:00-05:00,9,0,0,34,38
2025-01-24T12:12:00-05:00,0,0,0,31,43
2025-01-24T12:20:00-05:00,0,0,0,39,43
2025-01-24T12:28:00-05:00,5,0,0,43,44
2025-01-24T12:36:00-05:00,9,0,6,36,51
2025-01-24T12:44:00-05:00,0,6,0,45,43
2025-01-24T12:52:00-05:00,0,0,5,35,39
2025-01-24T13:00:00-05:00,7,0,0,32,45
2025-01-24T13:08:00-05:00,10,5,0,44,43
2025-01-24T13:16:00-05:00,9,0,0,44,45
